"JOGO","BL01"
2066, 2
2065, 4
2064, 6
2063, 1
2062, 3
2061, 1
2060, 3
2059, 1
2058, 1
2057, 2
2056, 1
2055, 1
2054, 1
2053, 3
2052, 1
2051, 1
2050, 1
2049, 3
2048, 1
2047, 2
2046, 1
2045, 1
2044, 3
2043, 3
2042, 2
2041, 1
2040, 2
2039, 1
2038, 1
2037, 1
2036, 4
2035, 3
2034, 1
2033, 1
2032, 2
2031, 1
2030, 2
2029, 3
2028, 1
2027, 1
2026, 1
2025, 2
2024, 1
2023, 1
2022, 1
2021, 1
2020, 2
2019, 1
2018, 1
2017, 1
2016, 2
2015, 2
2014, 3
2013, 1
2012, 1
2011, 1
2010, 2
2009, 1
2008, 2
2007, 1
2006, 1
2005, 3
2004, 1
2003, 1
2002, 2
2001, 1
2000, 2
1999, 3
1998, 1
1997, 2
1996, 2
1995, 1
1994, 3
1993, 1
1992, 3
1991, 1
1990, 4
1989, 1
1988, 2
1987, 2
1986, 1
1985, 1
1984, 2
1983, 1
1982, 1
1981, 1
1980, 3
1979, 4
1978, 1
1977, 1
1976, 1
1975, 2
1974, 1
1973, 2
1972, 3
1971, 3
1970, 3
1969, 4
1968, 1
1967, 1
1966, 1
1965, 1
1964, 1
1963, 3
1962, 1
1961, 2
1960, 2
1959, 1
1958, 2
1957, 1
1956, 3
1955, 1
1954, 2
1953, 1
1952, 3
1951, 3
1950, 2
1949, 2
1948, 1
1947, 2
1946, 1
1945, 3
1944, 1
1943, 2
1942, 1
1941, 1
1940, 1
1939, 2
1938, 3
1937, 3
1936, 2
1935, 1
1934, 1
1933, 1
1932, 2
1931, 3
1930, 1
1929, 1
1928, 1
1927, 1
1926, 1
1925, 1
1924, 2
1923, 1
1922, 2
1921, 2
1920, 2
1919, 1
1918, 2
1917, 1
1916, 4
1915, 2
1914, 2
1913, 2
1912, 2
1911, 1
1910, 2
1909, 2
1908, 2
1907, 1
1906, 1
1905, 1
1904, 1
1903, 4
1902, 1
1901, 2
1900, 1
1899, 1
1898, 5
1897, 1
1896, 1
1895, 1
1894, 2
1893, 2
1892, 1
1891, 3
1890, 1
1889, 1
1888, 2
1887, 1
1886, 1
1885, 1
1884, 1
1883, 1
1882, 1
1881, 1
1880, 1
1879, 2
1878, 1
1877, 2
1876, 1
1875, 1
1874, 1
1873, 1
1872, 1
1871, 1
1870, 1
1869, 1
1868, 1
1867, 1
1866, 1
1865, 2
1864, 2
